File Name, File Path, Created Date, Last Accessed Date, Last Modified Date, File Type Id, File Extension, File Size
Report.xml,\Report.xml,2015-03-10 13:41:46.263,2015-03-10 13:41:46.263,2015-05-21 15:00:26.917,205,xml,41917
Call(0221957902)-(2015-03-06T10:42:07+13:00),\Report.xml\Call(0221957902)-(2015-03-06T10:42:07+13:00),2015-03-05 21:42:07.000,NULL,NULL,NULL,NULL,314
Call(0212944678)-(2015-03-05T14:26:01+13:00),\Report.xml\Call(0212944678)-(2015-03-05T14:26:01+13:00),2015-03-05 01:26:01.000,NULL,NULL,NULL,NULL,325
Call(71234567896)-(2015-03-06T14:11:43+13:00),\Report.xml\Call(71234567896)-(2015-03-06T14:11:43+13:00),2015-03-06 01:11:43.000,NULL,NULL,NULL,NULL,316
Call(703)-(2015-03-06T14:06:42+13:00),\Report.xml\Call(703)-(2015-03-06T14:06:42+13:00),2015-03-06 01:06:42.000,NULL,NULL,NULL,NULL,319
Call(+64275176265)-(2015-03-06T13:14:52+13:00),\Report.xml\Call(+64275176265)-(2015-03-06T13:14:52+13:00),2015-03-06 00:14:52.000,NULL,NULL,NULL,NULL,325
Call(0274500824)-(2015-03-06T12:19:56+13:00),\Report.xml\Call(0274500824)-(2015-03-06T12:19:56+13:00),2015-03-05 23:19:56.000,NULL,NULL,NULL,NULL,323
Call(0275176265)-(2015-03-06T10:34:05+13:00),\Report.xml\Call(0275176265)-(2015-03-06T10:34:05+13:00),2015-03-05 21:34:05.000,NULL,NULL,NULL,NULL,323
Call(0221957902)-(2015-03-06T10:28:17+13:00),\Report.xml\Call(0221957902)-(2015-03-06T10:28:17+13:00),2015-03-05 21:28:17.000,NULL,NULL,NULL,NULL,315
Call(0212944678)-(2015-03-05T13:24:19+13:00),\Report.xml\Call(0212944678)-(2015-03-05T13:24:19+13:00),2015-03-05 00:24:19.000,NULL,NULL,NULL,NULL,325
Call(777)-(2015-03-04T16:23:02+13:00),\Report.xml\Call(777)-(2015-03-04T16:23:02+13:00),2015-03-04 03:23:02.000,NULL,NULL,NULL,NULL,321
Call(0275176265)-(2015-03-06T10:35:33+13:00),\Report.xml\Call(0275176265)-(2015-03-06T10:35:33+13:00),2015-03-05 21:35:33.000,NULL,NULL,NULL,NULL,325
Call(0212944678)-(2015-03-05T13:29:15+13:00),\Report.xml\Call(0212944678)-(2015-03-05T13:29:15+13:00),2015-03-05 00:29:15.000,NULL,NULL,NULL,NULL,327
Message Bank ,\Report.xml\Message Bank,NULL,NULL,NULL,NULL,NULL,207
DEI Test User2 ,\Report.xml\DEI Test User2,NULL,NULL,NULL,NULL,NULL,237
Vasylchenko Olga ,\Report.xml\Vasylchenko Olga,NULL,NULL,NULL,NULL,NULL,246
Private ,\Report.xml\Private,NULL,NULL,NULL,NULL,NULL,331
White Anna ,\Report.xml\White Anna,NULL,NULL,NULL,NULL,NULL,459
Walker Lewis ,\Report.xml\Walker Lewis,NULL,NULL,NULL,NULL,NULL,470
Dawson Leigh ,\Report.xml\Dawson Leigh,NULL,NULL,NULL,NULL,NULL,216
Sms(+64212944678)-(2015-03-05T14:29:50+13:00),\Report.xml\Sms(+64212944678)-(2015-03-05T14:29:50+13:00),2015-03-05 01:29:50.000,NULL,NULL,NULL,NULL,529
Sms(+64212944678)-(2015-03-05T14:30:35+13:00),\Report.xml\Sms(+64212944678)-(2015-03-05T14:30:35+13:00),2015-03-05 01:30:35.000,NULL,NULL,NULL,NULL,402
Sms(+64212944678)-(2015-03-05T14:39:03+13:00),\Report.xml\Sms(+64212944678)-(2015-03-05T14:39:03+13:00),2015-03-05 01:39:03.000,NULL,NULL,NULL,NULL,576
Sms(+64212944678)-(2015-03-05T14:51:52+13:00),\Report.xml\Sms(+64212944678)-(2015-03-05T14:51:52+13:00),2015-03-05 01:51:52.000,NULL,NULL,NULL,NULL,409
Sms(+64221957902)-(2015-03-06T10:25:31+13:00),\Report.xml\Sms(+64221957902)-(2015-03-06T10:25:31+13:00),2015-03-05 21:25:31.000,NULL,NULL,NULL,NULL,651
Sms(+64275176265)-(2015-03-06T12:51:57+13:00),\Report.xml\Sms(+64275176265)-(2015-03-06T12:51:57+13:00),2015-03-05 23:51:57.000,NULL,NULL,NULL,NULL,525
Sms(+64275176265)-(2015-03-06T12:52:12+13:00),\Report.xml\Sms(+64275176265)-(2015-03-06T12:52:12+13:00),2015-03-05 23:52:12.000,NULL,NULL,NULL,NULL,528
Sms(+64275176265)-(2015-03-06T13:11:09+13:00),\Report.xml\Sms(+64275176265)-(2015-03-06T13:11:09+13:00),2015-03-06 00:11:09.000,NULL,NULL,NULL,NULL,526
